iter	Passed	Remaining
154	221	1205
155	221	1199
156	222	1192
157	222	1186
158	223	1180
159	223	1174
160	224	1167
161	224	1161
162	225	1155
163	225	1150
164	226	1144
165	226	1139
166	227	1134
167	230	1143
168	231	1138
169	232	1132
170	232	1127
171	233	1122
172	233	1116
173	234	1111
174	234	1106
175	235	1101
176	235	1097
177	236	1092
178	237	1087
179	237	1083
180	238	1078
181	238	1074
182	239	1069
183	240	1067
184	241	1064
185	242	1061
186	243	1059
187	244	1056
188	245	1054
189	246	1051
190	252	1071
191	253	1066
192	255	1069
193	258	1073
194	259	1069
195	259	1064
196	260	1059
197	260	1055
198	261	1050
199	261	1046
200	262	1042
201	262	1037
202	263	1033
203	263	1029
204	264	1025
205	264	1021
206	265	1017
207	266	1013
208	266	1008
209	267	1004
210	267	1000
211	268	998
212	272	1008
213	273	1005
214	274	1001
215	274	997
216	275	993
217	275	989
218	276	985
219	280	996
220	282	997
221	283	994
222	285	993
223	285	989
224	286	985
225	286	982
226	287	978
227	287	974
228	288	970
229	288	966
230	289	963
231	289	959
232	290	955
233	292	956
234	292	952
235	293	949
236	294	948
237	296	950
238	297	947
239	298	944
240	300	947
241	301	943
242	301	940
243	302	936
244	302	933
245	303	929
246	303	926
247	304	922
248	304	919
249	305	915
250	305	912
251	306	909
252	307	906
253	307	903
254	308	899
255	308	897
256	309	894
257	310	894
258	312	893
259	313	891
260	320	906
261	320	902
262	321	900
263	322	898
264	322	895
265	323	893
266	325	892
267	326	892
268	327	890
269	329	890
270	330	888
271	332	889
272	333	887
273	333	884
274	334	881
275	334	878
276	352	920
277	353	918
278	355	918
279	357	918
280	371	949
281	386	984
282	391	992
283	392	988
284	392	985
285	393	981
286	394	981
287	396	981
288	397	978
289	400	980
290	405	988
291	406	985
292	406	982
293	407	979
294	408	976
295	409	974
296	410	971
297	412	970
298	413	969
299	416	971
300	417	968
301	418	966
302	418	963
303	419	961
304	424	968
305	426	966
306	427	964
307	428	961
308	429	960
309	430	958
310	433	960
311	436	961
312	437	959
313	438	956
314	438	954
315	439	951
316	440	948
317	441	946
318	442	945
319	443	942
320	444	940
321	445	938
322	446	936
323	447	933
324	449	933
325	449	930
326	454	936
327	455	932
328	473	965
329	474	962
330	474	959
331	475	956
332	475	953
333	480	958
334	481	955
335	483	955
336	485	954
337	486	952
338	486	949
339	487	946
340	487	942
341	488	939
342	488	936
343	489	933
344	489	930
345	490	927
346	490	923
347	491	920
348	493	921
349	495	920
350	510	943
351	510	940
352	511	937
353	511	934
354	516	938
355	517	936
356	519	936
357	520	932
358	525	938
359	526	936
360	528	935
361	529	933
362	534	938
363	535	935
364	536	932
365	536	929
366	537	926
367	537	923
368	538	920
369	538	917
370	539	914
371	539	911
372	540	908
373	540	905
374	541	902
375	546	907
376	547	905
377	549	903
378	550	901
379	550	898
380	551	895
381	551	892
382	552	890
383	553	887
384	553	884
385	554	881
386	554	878
387	555	875
388	555	872
389	602	942
390	603	939
391	603	936
392	604	933
393	604	930
394	605	926
395	606	925
396	611	929
397	612	926
398	613	923
399	613	920
400	614	917
401	614	914
402	615	911
403	615	908
404	616	905
405	617	902
406	617	900
407	618	897
408	618	894
409	619	891
410	619	888
411	620	885
412	621	882
413	621	879
414	622	877
415	635	892
416	636	889
417	636	886
418	637	883
419	637	880
420	645	887
421	646	884
422	646	882
423	647	879
424	647	876
425	648	873
426	648	870
427	649	867
428	649	864
429	650	862
430	655	865
431	658	866
432	659	863
433	659	860
434	660	857
435	660	854
436	661	852
437	662	850
438	664	848
439	665	846
440	670	849
441	671	847
442	672	845
443	677	848
444	678	846
445	678	843
446	679	840
447	680	837
448	680	835
449	681	832
450	681	830
451	684	829
452	685	827
453	687	827
454	688	824
455	689	822
456	689	819
457	690	816
458	690	814
459	691	811
460	691	808
461	693	807
462	695	806
463	695	803
464	701	807
465	701	804
466	702	801
467	703	799
468	703	796
469	703	793
470	704	791
471	704	788
472	705	786
473	706	783
474	706	780
475	707	778
476	707	775
477	708	773
478	709	771
479	716	776
480	717	774
481	718	771
482	718	769
483	719	766
484	719	764
485	720	761
486	720	759
487	726	761
488	726	759
489	728	757
490	732	758
491	735	759
492	736	757
493	736	754
494	737	752
